section,sort,key,title,url,type,blurb
contoh-bahan-delima,1,jadual-delima-smk-raja-shahriman,JADUAL PENGGUNAAN DELIMA GURU SMK RAJA SHAHRIMAN,https://drive.google.com/file/d/1rIkmt3ym-RtaLSS0x1PWkAKKBt7sTZ7r/view?usp=drive_link,pdf,PDF (Google Drive)
contoh-bahan-delima,2,contoh-gc-smk-raja-shahriman,Contoh GC SMK RAJA SHAHRIMAN,https://drive.google.com/file/d/1lPacjoL4whMEZzttJcN0ZbjNc3-oGm26/view?usp=drive_link,pdf,PDF (Google Drive)
contoh-bahan-delima,3,jadual-ict-delima-sjkt-kg-columbia,Jadual Penggunaan ICT & DELIMa SJKT KG COLUMBIA,https://drive.google.com/file/d/1GjYLq3F7W7KR-AZG1LCuR4hn9UWkACow/view?usp=drive_link,pdf,PDF (Google Drive)
contoh-bahan-delima,4,jadual-delima-sjkc-pei-ching,Jadual DELIMa SJKC Pei Ching,https://drive.google.com/file/d/1HsEmsqsuPmYlLdgEvBqTcakCIhQVMFwE/view?usp=drive_link,pdf,PDF (Google Drive)
contoh-bahan-delima,5,opr-delima-sjkt-ladang-cashwood,OPR DELIMa SJKT LADANG CASHWOOD,https://drive.google.com/file/d/1cbZI8GH_nsXABQe6wNpu-5SLQPj41QLV/view?usp=drive_link,pdf,PDF (Google Drive)
